symbol,instrument_token,sector,sector_index
DCMSHRIRAM,207617,Other,NSE:NIFTY 50
DEEPAKFERT,211713,Other,NSE:NIFTY 50
DELHIVERY,2457345,Infrastructure,NSE:NIFTY INFRA
DEVYANI,1375489,FMCG,NSE:NIFTY FMCG
DOMS,5261057,Other,NSE:NIFTY 50
ECLERX,3885825,IT,NSE:NIFTY IT
EIDPARRY,234497,FMCG,NSE:NIFTY FMCG
EIHOTEL,235265,Consumer Durables,NSE:NIFTY CONSUMPTION
ELECON,3492609,Other,NSE:NIFTY 50
ELGIEQUIP,239873,Capital Goods,NSE:NIFTY INFRA
EMAMILTD,3460353,FMCG,NSE:NIFTY FMCG
EMCURE,6245889,Other,NSE:NIFTY 50
ENGINERSIN,1256193,Infrastructure,NSE:NIFTY INFRA
ERIS,5415425,Pharma,NSE:NIFTY PHARMA
FINCABLES,265729,Other,NSE:NIFTY 50
FINPIPE,266497,Other,NSE:NIFTY 50
FIRSTCRY,6352385,Other,NSE:NIFTY 50
FIVESTAR,3080193,Other,NSE:NIFTY 50
FORCEMOT,2962689,Other,NSE:NIFTY 50
FSL,3661825,Other,NSE:NIFTY 50
GESHIP,3526657,Other,NSE:NIFTY 50
GILLETTE,403457,FMCG,NSE:NIFTY FMCG
GLAND,303617,Pharma,NSE:NIFTY PHARMA
GMDCLTD,1332225,Other,NSE:NIFTY 50
GODIGIT,6092545,Other,NSE:NIFTY 50
GODREJAGRO,36865,Other,NSE:NIFTY 50
GPIL,3432705,Metal,NSE:NIFTY METAL
GRANULES,3039233,Pharma,NSE:NIFTY PHARMA
GRAPHITE,151553,Other,NSE:NIFTY 50
GRAVITA,5256705,Other,NSE:NIFTY 50
GRSE,1401601,Capital Goods,NSE:NIFTY INFRA
GSPL,3378433,Oil & Gas,NSE:NIFTY ENERGY
HAPPSTMNDS,12289,IT,NSE:NIFTY IT
HBLENGINE,3575297,Other,NSE:NIFTY 50
HEG,342017,Other,NSE:NIFTY 50
HFCL,5619457,Other,NSE:NIFTY 50
HINDCOPPER,4592385,Other,NSE:NIFTY 50
HOMEFIRST,526337,Financial Services,NSE:NIFTY FIN SERVICE
HONASA,5072129,Other,NSE:NIFTY 50
HSCL,3669505,Other,NSE:NIFTY 50
IEX,56321,Other,NSE:NIFTY 50
IFCI,381697,Other,NSE:NIFTY 50
IGIL,7264769,Other,NSE:NIFTY 50
IIFL,3023105,Financial Services,NSE:NIFTY FIN SERVICE
IKS,7200001,Other,NSE:NIFTY 50
INDGN,6065409,Other,NSE:NIFTY 50
INDIACEM,387841,Cement,NSE:NIFTY INFRA
INDIAMART,2745857,IT,NSE:NIFTY IT
INOXINDIA,5275393,Other,NSE:NIFTY 50
INOXWIND,2010113,Other,NSE:NIFTY 50
INTELLECT,1517057,IT,NSE:NIFTY IT
IRCON,1276417,Infrastructure,NSE:NIFTY INFRA
ITI,428801,Other,NSE:NIFTY 50
J&KBANK,1442049,Other,NSE:NIFTY 50
JBCHEPHARM,441857,Pharma,NSE:NIFTY PHARMA
JBMA,2983681,Auto,NSE:NIFTY AUTO
JINDALSAW,774145,Other,NSE:NIFTY 50
JKTYRE,3695361,Other,NSE:NIFTY 50
JMFINANCIL,3491073,Financial Services,NSE:NIFTY FIN SERVICE
JPPOWER,3011329,Other,NSE:NIFTY 50
JSWCEMENT,194165761,Other,NSE:NIFTY 50
JUBLINGREA,712449,Chemicals,NSE:NIFTY COMMODITIES
JUBLPHARMA,931073,Other,NSE:NIFTY 50
JWL,5177345,Other,NSE:NIFTY 50
JYOTHYLAB,3877377,FMCG,NSE:NIFTY FMCG
JYOTICNC,5461505,Other,NSE:NIFTY 50
KAJARIACER,462849,Consumer Durables,NSE:NIFTY CONSUMPTION
KARURVYSYA,470529,Other,NSE:NIFTY 50
KAYNES,3095553,Capital Goods,NSE:NIFTY INFRA
KEC,3394561,Infrastructure,NSE:NIFTY INFRA
KFINTECH,3419905,Financial Services,NSE:NIFTY FIN SERVICE
KIMS,1240833,Healthcare,NSE:NIFTY PHARMA
KIRLOSBROS,4756737,Other,NSE:NIFTY 50
KIRLOSENG,5359617,Other,NSE:NIFTY 50
KPIL,464385,Other,NSE:NIFTY 50
KSB,498945,Other,NSE:NIFTY 50
LALPATHLAB,2983425,Healthcare,NSE:NIFTY PHARMA
LATENTVIEW,1745409,IT,NSE:NIFTY IT
LAURUSLABS,4923905,Pharma,NSE:NIFTY PHARMA
LEMONTREE,667137,Other,NSE:NIFTY 50
LTFOODS,3536897,Other,NSE:NIFTY 50
MAHSCOOTER,533761,Other,NSE:NIFTY 50
MAHSEAMLES,534529,Other,NSE:NIFTY 50
MANAPPURAM,4879617,Financial Services,NSE:NIFTY FIN SERVICE
MANYAVAR,2090753,Other,NSE:NIFTY 50
MAPMYINDIA,1850113,Other,NSE:NIFTY 50
MCX,7982337,Financial Services,NSE:NIFTY FIN SERVICE
METROPOLIS,2452737,Healthcare,NSE:NIFTY PHARMA
MGL,4488705,Oil & Gas,NSE:NIFTY ENERGY
MINDACORP,6629633,Auto,NSE:NIFTY AUTO
MMTC,4596993,Other,NSE:NIFTY 50
MRPL,584449,Oil & Gas,NSE:NIFTY ENERGY
MSUMI,2200577,Other,NSE:NIFTY 50
NATCOPHARM,1003009,Pharma,NSE:NIFTY PHARMA
NAVA,1027585,Other,NSE:NIFTY 50
NAVINFLUOR,3756033,Chemicals,NSE:NIFTY COMMODITIES
NBCC,8042241,Infrastructure,NSE:NIFTY INFRA
NCC,593665,Infrastructure,NSE:NIFTY INFRA
NETWEB,4462849,Other,NSE:NIFTY 50
NEULANDLAB,615937,Other,NSE:NIFTY 50
NEWGEN,297985,IT,NSE:NIFTY IT
NH,3031041,Other,NSE:NIFTY 50
NIVABUPA,6936833,Other,NSE:NIFTY 50
NSLNISP,3630081,Other,NSE:NIFTY 50
NUVAMA,4792577,Other,NSE:NIFTY 50
NUVOCO,1389057,Cement,NSE:NIFTY INFRA
OLAELEC,6342913,Other,NSE:NIFTY 50
OLECTRA,2723073,Auto,NSE:NIFTY AUTO
ONESOURCE,7481345,Other,NSE:NIFTY 50
PCBL,678145,Chemicals,NSE:NIFTY COMMODITIES
PFIZER,676609,Pharma,NSE:NIFTY PHARMA
PGEL,6491649,Diversified,NSE:NIFTY 500
PNBHOUSING,4840449,Financial Services,NSE:NIFTY FIN SERVICE
POLYMED,6583809,Other,NSE:NIFTY 50
POONAWALLA,2919169,Financial Services,NSE:NIFTY FIN SERVICE
PPLPHARMA,2962177,Other,NSE:NIFTY 50
PRAJIND,692481,Other,NSE:NIFTY 50
PTCIL,4270593,Other,NSE:NIFTY 50
PVRINOX,3365633,Other,NSE:NIFTY 50
RADICO,2813441,FMCG,NSE:NIFTY FMCG
RAILTEL,622337,Infrastructure,NSE:NIFTY INFRA
RAINBOW,2408449,Healthcare,NSE:NIFTY PHARMA
RAMCOCEM,523009,Cement,NSE:NIFTY INFRA
RBLBANK,4708097,Bank,NSE:NIFTY BANK
RCF,733697,Other,NSE:NIFTY 50
REDINGTON,3649281,Other,NSE:NIFTY 50
RHIM,7977729,Other,NSE:NIFTY 50
RITES,962817,Infrastructure,NSE:NIFTY INFRA
RKFORGE,2921217,Metal,NSE:NIFTY METAL
RPOWER,3906305,Other,NSE:NIFTY 50
RRKABEL,4752897,Other,NSE:NIFTY 50
SAGILITY,6925313,Other,NSE:NIFTY 50
SAILIFE,7126785,Other,NSE:NIFTY 50
SAMMAANCAP,7712001,Other,NSE:NIFTY 50
SAPPHIRE,1719809,FMCG,NSE:NIFTY FMCG
SARDAEN,4546049,Other,NSE:NIFTY 50
SAREGAMA,1252353,Other,NSE:NIFTY 50
SBFC,4614657,Other,NSE:NIFTY 50
SCHNEIDER,7995905,Other,NSE:NIFTY 50
SCI,780289,Other,NSE:NIFTY 50
SHYAMMETL,1201409,Metal,NSE:NIFTY METAL
SIGNATURE,4798209,Financial Services,NSE:NIFTY FIN SERVICE
SOBHA,3539457,Realty,NSE:NIFTY REALTY
SONATSOFTW,1688577,IT,NSE:NIFTY IT
STARHEALTH,1813249,Financial Services,NSE:NIFTY FIN SERVICE
SUMICHEM,4378881,Other,NSE:NIFTY 50
SUNDRMFAST,856321,Auto,NSE:NIFTY AUTO
SUNTV,3431425,Media,NSE:NIFTY MEDIA
SWANCORP,6936321,Other,NSE:NIFTY 50
SYRMA,2763009,Capital Goods,NSE:NIFTY INFRA
TARIL,3884545,Other,NSE:NIFTY 50
TATACHEM,871681,Chemicals,NSE:NIFTY COMMODITIES
TBOTEK,6077441,Other,NSE:NIFTY 50
TECHNOE,1649921,Other,NSE:NIFTY 50
TEJASNET,5409537,Other,NSE:NIFTY 50
THELEELA,193795585,Other,NSE:NIFTY 50
TIMKEN,3634689,Other,NSE:NIFTY 50
TITAGARH,3945985,Other,NSE:NIFTY 50
TRIDENT,2479361,Textiles,NSE:NIFTY COMMODITIES
TRITURBINE,6549505,Capital Goods,NSE:NIFTY INFRA
TRIVENI,3348737,Other,NSE:NIFTY 50
TTML,2292225,Other,NSE:NIFTY 50
USHAMART,2263041,Other,NSE:NIFTY 50
UTIAMC,134913,Financial Services,NSE:NIFTY FIN SERVICE
VENTIVE,7384833,Other,NSE:NIFTY 50
VGUARD,3932673,Consumer Durables,NSE:NIFTY CONSUMPTION
VIJAYA,1429761,Healthcare,NSE:NIFTY PHARMA
VTL,530689,Other,NSE:NIFTY 50
WELCORP,3026177,Metal,NSE:NIFTY METAL
WELSPUNLIV,2880769,Other,NSE:NIFTY 50
WHIRLPOOL,4610817,Consumer Durables,NSE:NIFTY CONSUMPTION
WOCKPHARMA,1921537,Other,NSE:NIFTY 50
ZEEL,975873,Media,NSE:NIFTY MEDIA
ZENSARTECH,275457,IT,NSE:NIFTY IT
ZENTEC,1922049,Other,NSE:NIFTY 50
ZFCVINDIA,4330241,Other,NSE:NIFTY 50
